Weapon,Animal,HighThreat,LowThreat,Danger,Safe,Full_Loop.thisRepN,Full_Loop.thisTrialN,Full_Loop.thisN,Full_Loop.thisIndex,Weapon_loop.thisRepN,Weapon_loop.thisTrialN,Weapon_loop.thisN,Weapon_loop.thisIndex,Weapon_img_loop.thisRepN,Weapon_img_loop.thisTrialN,Weapon_img_loop.thisN,Weapon_img_loop.thisIndex,Animal_loop.thisRepN,Animal_loop.thisTrialN,Animal_loop.thisN,Animal_loop.thisIndex,Animal_img_loop.thisRepN,Animal_img_loop.thisTrialN,Animal_img_loop.thisN,Animal_img_loop.thisIndex,Low_Threat_loop.thisRepN,Low_Threat_loop.thisTrialN,Low_Threat_loop.thisN,Low_Threat_loop.thisIndex,Low_Threat_img_loop.thisRepN,Low_Threat_img_loop.thisTrialN,Low_Threat_img_loop.thisN,Low_Threat_img_loop.thisIndex,Safe_loop.thisRepN,Safe_loop.thisTrialN,Safe_loop.thisN,Safe_loop.thisIndex,Safe_img_loop.thisRepN,Safe_img_loop.thisTrialN,Safe_img_loop.thisN,Safe_img_loop.thisIndex,Danger_loop.thisRepN,Danger_loop.thisTrialN,Danger_loop.thisN,Danger_loop.thisIndex,Danger_img_loop.thisRepN,Danger_img_loop.thisTrialN,Danger_img_loop.thisN,Danger_img_loop.thisIndex,High_Threat_loop.thisRepN,High_Threat_loop.thisTrialN,High_Threat_loop.thisN,High_Threat_loop.thisIndex,High_Threat_img_loop.thisRepN,High_Threat_img_loop.thisTrialN,High_Threat_img_loop.thisN,High_Threat_img_loop.thisIndex,trigger.started,trigger_resp.started,trigger_resp.keys,trigger_resp.corr,trigger_resp.rt,wait.started,weapon_img.started,ISI_weapon.started,weapon_img.stopped,ITI_Weapon.started,anima_img.started,ISI_animal.started,anima_img.stopped,ITI_Animal.started,Low_Threat_img.started,ISI_low_threat.started,Low_Threat_img.stopped,ITI_Low_Threat.started,safe_img.started,ISI_safe.started,safe_img.stopped,ITI_Safe.started,danger_img.started,ISI_danger.started,danger_img.stopped,ITI_Danger.started,ITI_Danger.stopped,High_Threat_img.started,ISI_High_Threat.started,High_Threat_img.stopped,ITI_High_Threat.started,completion.started,completion_resp.started,completion_resp.keys,completion_resp.rt,participant,session (pre/post),date,expName,psychopyVersion,frameRate,
img/fist.png,img/grizzly.png,img/grizzly.png,img/goose.png,img/fist.png,img/grenade.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.11859395797364,69.39224283304065,69.42787687503733,,,,,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
img/gun.png,img/cat.png,img/lion.png,img/cat.png,img/stick.png,img/gun.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,2,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.5178221669048,69.79229166707955,69.82788754208013,,,,,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
img/stick.png,img/lion.png,img/lion.png,img/cat.png,img/stick.png,img/gun.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,3,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.91659179190174,70.19228433305398,70.22824754193425,,,,,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.31044716690667,,,,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
img/stick.png,img/lion.png,img/lion.png,img/cat.png,img/stick.png,img/gun.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.34558787499554,82.60883766692132,82.6586055830121,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
img/grenade.png,img/goose.png,img/grizzly.png,img/goose.png,img/fist.png,img/grenade.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.71775558288209,82.99201658298261,83.02763216709718,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
img/gun.png,img/cat.png,img/lion.png,img/cat.png,img/stick.png,img/gun.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.11831529205665,83.39186591701582,83.42787012504414,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
img/fist.png,img/grizzly.png,img/grizzly.png,img/goose.png,img/fist.png,img/grenade.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.54191899998114,83.79191037500277,83.84401825000532,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
img/stick.png,img/lion.png,img/lion.png,img/cat.png,img/stick.png,img/gun.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.91986654209904,84.19188249995932,84.22751158289611,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
img/grenade.png,img/goose.png,img/grizzly.png,img/goose.png,img/fist.png,img/grenade.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.31770566687919,84.59187583299354,84.62773045804352,,,,,,,,,,,t,pre,2023-12-15_00h26.21.086,Localizer_Pre,2023.1.0,None,
